condition,generated_file,clean_reference,pixel_agreement,prediction_iou,distribution_shift,robustness_drop
brightness_high,0015_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404.jpg,0.8943798611111111,0.5624001136646811,0.12777222222222223,0.4375998863353189
brightness_high,0016_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404.jpg,0.8913125,0.6104233326666093,0.11887777777777776,0.3895766673333907
brightness_high,0017_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404.jpg,0.8804180555555555,0.5587674876015016,0.13189444444444443,0.44123251239849837
brightness_high,0018_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404.jpg,0.8829104166666667,0.6168057461338402,0.1585708333333333,0.3831942538661598
brightness_high,0019_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404.jpg,0.9038034722222222,0.5267191626784066,0.10673333333333333,0.47328083732159343
brightness_high,0020_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404.jpg,0.91793125,0.5587827533982859,0.08613194444444441,0.44121724660171413
brightness_high,0021_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404.jpg,0.9322298611111111,0.5931575252289264,0.07655277777777772,0.4068424747710736
brightness_high,0022_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404.jpg,0.8751708333333333,0.5483608377576596,0.11683194444444446,0.45163916224234035
brightness_high,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,0.9073951388888889,0.5628434752082055,0.0840152777777778,0.43715652479179445
occlusion_medium,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,0.7106416666666666,0.36995495218076613,0.4184111111111111,0.6300450478192339
occlusion_medium,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,0.6721305555555556,0.3628012730159028,0.5342888888888888,0.6371987269840972
